;;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand
;;31.12.2010;31.12.2009;31.12.2008;31.12.2007;31.12.2006;31.12.2005;31.12.2004;31.12.2003;31.12.2002;31.12.2001;31.12.2000;31.12.1999;31.12.1998;31.12.1997;31.12.1996;31.12.1995;31.12.1994;31.12.1993;31.12.1992;31.12.1991;31.12.1990;31.12.1989;31.12.1988;31.12.1987;31.12.1986;31.12.1985;31.12.1984;31.12.1983;31.12.1982;31.12.1981;31.12.1980;31.12.1979;31.12.1978;31.12.1977;31.12.1976;31.12.1975;31.12.1974;31.12.1973;31.12.1972;31.12.1971;31.12.1970;31.12.1969;31.12.1968;31.12.1967;31.12.1966;31.12.1965;31.12.1964;31.12.1963;31.12.1962
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05122;    Solingen, krfr. Stadt;159927;160992;161779;162575;162948;163581;164205;164543;164740;165032;164973;165583;165235;164993;165087;165735;165973;166064;167112;165924;165401;162928;160824;159343;158408;157929;158425;160117;162167;164372;166091;166661;167388;168338;169591;171817;175298;178037;178899;179130;179371;178207;176579;175620;177008;176813;174980;174440;174287
05124;    Wuppertal, krfr. Stadt;349721;351050;353308;356420;358330;359237;361077;362137;363522;364784;366434;368993;372218;376693;379820;381884;383776;386625;388102;385463;383660;378312;371283;366546;374226;376586;379406;383781;387958;391770;393388;394611;396131;398737;401616;405375;412403;416919;420322;423834;424695;423710;421157;421611;429184;430737;429989;429581;429799
05154;    Kleve, Kreis;307807;308090;308448;308928;308331;307703;306850;305599;304176;301861;299362;297608;295206;292988;290969;288071;284448;281921;279747;274423;269149;266175;263206;262021;262688;261927;261550;260981;260647;260507;258828;256819;255339;253524;252489;251735;251464;250073;248422;247250;245224;243074;240880;239206;236906;234602;232258;229893;227477
05154004;      Bedburg-Hau;13212;13212;13219;13117;13026;12926;12813;12736;12494;12361;12417;12401;12416;12448;12329;12315;12285;12279;12418;12419;12328;12392;12411;12329;13268;13324;13349;13415;13629;13920;13938;13674;13623;13264;13380;13130;13424;13161;13098;13134;13147;13040;12952;12865;12530;12499;12124;12164;11943
05154008;      Emmerich am Rhein, Stadt;29571;29652;29752;29716;29662;29520;29390;29276;29267;29005;28899;28940;28996;29121;29208;29285;29101;29028;28995;28727;28322;28070;27906;27981;29086;29245;29271;29198;29271;29368;29343;29383;29461;29062;29033;29113;28816;28884;28724;28454;28117;27637;27061;26969;26634;26413;26107;25755;25608
05154012;      Geldern, Stadt;33575;33786;33709;33927;33954;34035;33861;33795;33585;33232;33074;32927;32598;32210;31981;31709;31274;30829;30469;29715;29245;28843;28465;28223;27240;27095;27022;26778;26739;26588;26234;25742;25185;24684;24370;24084;24002;23510;23249;23003;22517;22320;22100;21985;21864;21585;21320;21012;20902
05154016;      Goch, Stadt;34106;34036;34043;34003;34076;33948;33830;33538;33376;33033;32675;32445;31966;31536;31270;31186;30654;30441;30497;30152;29843;29565;29592;29430;28472;28415;28758;28796;28779;28936;28779;28639;28592;28441;28227;28209;28203;28080;27850;27678;27617;27428;27151;26932;26586;26275;26068;25718;25337
05154020;      Issum;11931;11898;11949;12038;12118;12172;12173;12218;12189;12181;12093;12152;12092;12017;11949;11793;11572;11436;11340;11245;10970;10848;10686;10711;10646;10588;10601;10550;10556;10315;10035;9850;9709;9572;9370;9150;9074;9131;8979;8973;8807;8713;8635;8597;8433;8475;8367;8274;8210
05154024;      Kalkar, Stadt;13829;13950;13996;14055;14058;14076;14050;13996;14010;13865;13639;13419;13270;13109;12865;12560;12189;11996;11874;11551;11084;11027;10696;10618;11184;11194;11083;11171;11177;11107;11068;10992;10993;10982;10962;10846;10927;10680;10501;10386;9848;9499;9373;9291;9283;9285;9220;9172;9188
05154028;      Kerken;12650;12746;12757;12885;12889;12830;12812;12738;12641;12616;12553;12492;12399;12249;12232;12060;11930;11933;11805;11594;11290;11114;10960;10918;10672;10528;10436;10424;10352;10293;10277;10220;10314;10402;10381;10280;10219;10209;10140;9965;9893;9785;9709;9595;9639;9572;9424;9304;9196
